"","switch","type","value","optimise","random","lower","upper","parscale"
"retro_years","retro_years","",0,FALSE,FALSE,NA,NA,NA
"ghl.init.scalar","ghl.init.scalar","",90.7075061240501,TRUE,FALSE,1,1000,999
"ghl.init.1","ghl.init.1","",97.102520969373,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.2","ghl.init.2","",28.970471096268,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.3","ghl.init.3","",67.2960019746827,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.4","ghl.init.4","",59.8793303258631,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.5","ghl.init.5","",49.3972597432229,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.6","ghl.init.6","",133.305168987363,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.7","ghl.init.7","",57.0044747714952,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.8","ghl.init.8","",174.064418452232,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.9","ghl.init.9","",2255.79723059806,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.10","ghl.init.10","",358.817205135127,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.11","ghl.init.11","",1743.44181772323,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.12","ghl.init.12","",635.311176446612,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.13","ghl.init.13","",782.973668842917,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.14","ghl.init.14","",1.80236427172134,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.15","ghl.init.15","",34024.6019001425,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.16","ghl.init.16","",4975.54383566787,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.17","ghl.init.17","",6689.17820715122,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.18","ghl.init.18","",12214.9489954474,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.19","ghl.init.19","",16494.9961236175,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.20","ghl.init.20","",36093.8809696053,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.21","ghl.init.21","",546.608264663047,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.22","ghl.init.22","",74.1855312181043,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.23","ghl.init.23","",149.447689533462,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.24","ghl.init.24","",846.452940349393,TRUE,FALSE,0.1,1e+05,99999.9
"ghl.init.25","ghl.init.25","",14276.0032885015,TRUE,FALSE,0.1,1e+05,99999.9
"ghl_female_imm.M","ghl_female_imm.M","",0.12,FALSE,FALSE,0.001,0.4,0.399
"ghl_female.init.F_exp","ghl_female.init.F_exp","",-0.858617740072639,TRUE,FALSE,-2.30258509299405,-0.22314355131421,2.07944154167984
"ghl_female.mat_initial_alpha","ghl_female.mat_initial_alpha","",0.00101215835277603,TRUE,FALSE,0.001,3,2.999
"ghl_female.mat_initial_a50","ghl_female.mat_initial_a50","",12.98,FALSE,FALSE,3,25,22
"ghl_female.Linf","ghl_female.Linf","",105.227081083036,TRUE,FALSE,80,120,40
"ghl_female.K","ghl_female.K","",61.0785818985489,TRUE,FALSE,20,500,480
"ghl.recl","ghl.recl","",14,FALSE,FALSE,12,20,8
"ghl_female_imm.init.sd.1","ghl_female_imm.init.sd.1","",1.93360622843391,FALSE,FALSE,0,20,20
"ghl_female_imm.init.sd.2","ghl_female_imm.init.sd.2","",2.02058423075842,FALSE,FALSE,0,20,20
"ghl_female_imm.init.sd.3","ghl_female_imm.init.sd.3","",2.8973763268693,FALSE,FALSE,0,20,20
"ghl_female_imm.init.sd.4","ghl_female_imm.init.sd.4","",3.47486034106571,FALSE,FALSE,0,20,20
"ghl_female_imm.init.sd.5","ghl_female_imm.init.sd.5","",3.89562192591365,FALSE,FALSE,0,20,20
