step	area	length	number	female
1981	1	all	len37	0.43
1981	1	all	len41	1.29
1981	1	all	len43	3.44
1981	1	all	len45	11.61
1981	1	all	len47	16.77
1981	1	all	len49	25.37
1981	1	all	len51	39.84
1981	1	all	len53	46.08
1981	1	all	len55	47.04
1981	1	all	len57	52.2
1981	1	all	len59	45.82
1981	1	all	len61	56.24
1981	1	all	len63	50.92
1981	1	all	len65	32.68
1981	1	all	len67	40.5
1981	1	all	len69	31.5
1981	1	all	len71	29.14
1981	1	all	len73	14.1
1981	1	all	len75	21.62
1981	1	all	len77	13.72
1981	1	all	len79	7.84
1981	1	all	len81	6
1981	1	all	len83	2
1981	1	all	len85	1
1981	1	all	len89	3
1981	1	all	len91	1
1986	1	all	len27	1
1986	1	all	len29	0.86
1986	1	all	len31	0.86
1986	1	all	len33	0.43
1986	1	all	len35	1.29
1986	1	all	len37	3.44
1986	1	all	len39	3.44
1986	1	all	len41	6.02
1986	1	all	len43	9.89
1986	1	all	len45	16.34
1986	1	all	len47	16.77
1986	1	all	len49	14.62
1986	1	all	len51	14.88
1986	1	all	len53	14.4
1986	1	all	len55	7.68
1986	1	all	len57	13.34
1986	1	all	len59	11.6
1986	1	all	len61	15.2
1986	1	all	len63	22.04
1986	1	all	len65	31.92
1986	1	all	len67	42.3
1986	1	all	len69	30.6
1986	1	all	len71	21.62
1986	1	all	len73	11.28
1986	1	all	len75	15.04
1986	1	all	len77	6.86
1986	1	all	len79	6.86
1986	1	all	len81	4
1986	1	all	len83	2
1986	1	all	len85	1
1986	1	all	len87	1
1986	1	all	len93	1
1988	1	all	len37	0.43
1988	1	all	len39	0.43
1988	1	all	len41	1.29
1988	1	all	len43	4.73
1988	1	all	len45	7.74
1988	1	all	len47	10.32
1988	1	all	len49	13.33
1988	1	all	len51	9.12
1988	1	all	len53	11.04
1988	1	all	len55	7.68
1988	1	all	len57	6.96
1988	1	all	len59	6.96
1988	1	all	len61	3.8
1988	1	all	len63	6.08
1988	1	all	len65	5.32
1988	1	all	len67	2.7
1988	1	all	len69	6.3
1988	1	all	len71	2.82
1988	1	all	len73	3.76
1988	1	all	len75	2.82
1990	1	all	len35	1.29
1990	1	all	len37	2.15
1990	1	all	len39	3.01
1990	1	all	len41	3.87
1990	1	all	len43	16.34
1990	1	all	len45	30.53
1990	1	all	len47	34.83
1990	1	all	len49	37.84
1990	1	all	len51	30.96
1990	1	all	len53	23.04
1990	1	all	len55	25.44
1990	1	all	len57	9.6
1990	1	all	len59	13.34
1990	1	all	len61	4.64
1990	1	all	len63	3.04
1990	1	all	len65	6.84
1990	1	all	len67	4.56
1990	1	all	len69	0.9
1990	1	all	len71	7.2
1990	1	all	len73	2.82
