step	area	length	number	male
1981	1	all	len37	0.57
1981	1	all	len41	1.71
1981	1	all	len43	4.56
1981	1	all	len45	15.39
1981	1	all	len47	22.23
1981	1	all	len49	33.63
1981	1	all	len51	43.16
1981	1	all	len53	49.92
1981	1	all	len55	50.96
1981	1	all	len57	37.8
1981	1	all	len59	33.18
1981	1	all	len61	17.76
1981	1	all	len63	16.08
1981	1	all	len65	10.32
1981	1	all	len67	4.5
1981	1	all	len69	3.5
1981	1	all	len71	1.86
1981	1	all	len73	0.9
1981	1	all	len75	1.38
1981	1	all	len77	0.28
1981	1	all	len79	0.16
1981	1	all	len81	0
1981	1	all	len83	0
1981	1	all	len85	0
1981	1	all	len89	0
1981	1	all	len91	0
1986	1	all	len27	0
1986	1	all	len29	1.14
1986	1	all	len31	1.14
1986	1	all	len33	0.57
1986	1	all	len35	1.71
1986	1	all	len37	4.56
1986	1	all	len39	4.56
1986	1	all	len41	7.98
1986	1	all	len43	13.11
1986	1	all	len45	21.66
1986	1	all	len47	22.23
1986	1	all	len49	19.38
1986	1	all	len51	16.12
1986	1	all	len53	15.6
1986	1	all	len55	8.32
1986	1	all	len57	9.66
1986	1	all	len59	8.4
1986	1	all	len61	4.8
1986	1	all	len63	6.96
1986	1	all	len65	10.08
1986	1	all	len67	4.7
1986	1	all	len69	3.4
1986	1	all	len71	1.38
1986	1	all	len73	0.72
1986	1	all	len75	0.96
1986	1	all	len77	0.14
1986	1	all	len79	0.14
1986	1	all	len81	0
1986	1	all	len83	0
1986	1	all	len85	0
1986	1	all	len87	0
1986	1	all	len93	0
1988	1	all	len37	0.57
1988	1	all	len39	0.57
1988	1	all	len41	1.71
1988	1	all	len43	6.27
1988	1	all	len45	10.26
1988	1	all	len47	13.68
1988	1	all	len49	17.67
1988	1	all	len51	9.88
1988	1	all	len53	11.96
1988	1	all	len55	8.32
1988	1	all	len57	5.04
1988	1	all	len59	5.04
1988	1	all	len61	1.2
1988	1	all	len63	1.92
1988	1	all	len65	1.68
1988	1	all	len67	0.3
1988	1	all	len69	0.7
1988	1	all	len71	0.18
1988	1	all	len73	0.24
1988	1	all	len75	0.18
1990	1	all	len35	1.71
1990	1	all	len37	2.85
1990	1	all	len39	3.99
1990	1	all	len41	5.13
1990	1	all	len43	21.66
1990	1	all	len45	40.47
1990	1	all	len47	46.17
1990	1	all	len49	50.16
1990	1	all	len51	41.04
1990	1	all	len53	24.96
1990	1	all	len55	27.56
1990	1	all	len57	10.4
1990	1	all	len59	9.66
1990	1	all	len61	3.36
1990	1	all	len63	0.96
1990	1	all	len65	2.16
1990	1	all	len67	1.44
1990	1	all	len69	0.1
1990	1	all	len71	0.8
1990	1	all	len73	0.18
1990	1	all	len75	0.12
1990	1	all	len77	0.24
1990	1	all	len89	0
1992	1	all	len15	0.57
1992	1	all	len25	0.57
1992	1	all	len27	1.71
1992	1	all	len29	1.71
1992	1	all	len31	1.71
1992	1	all	len33	2.85
1992	1	all	len35	6.27
1992	1	all	len37	15.96
1992	1	all	len39	25.08
1992	1	all	len41	29.64
1992	1	all	len43	35.34
1992	1	all	len45	50.73
1992	1	all	len47	50.73
1992	1	all	len49	54.72
1992	1	all	len51	43.16
1992	1	all	len53	43.68
1992	1	all	len55	33.8
1992	1	all	len57	25.62
1992	1	all	len59	16.38
1992	1	all	len61	9.36
1992	1	all	len63	4.56
1992	1	all	len65	6
1992	1	all	len67	0.3
1992	1	all	len69	0.4
1992	1	all	len71	0.12
1992	1	all	len75	0.12
1992	1	all	len9	1.71
1994	1	all	len33	0.57
1994	1	all	len37	0.57
1994	1	all	len39	2.28
1994	1	all	len41	5.13
1994	1	all	len43	15.39
1994	1	all	len45	31.92
1994	1	all	len47	25.08
1994	1	all	len49	31.35
1994	1	all	len51	37.96
1994	1	all	len53	36.92
1994	1	all	len55	44.2
1994	1	all	len57	36.12
1994	1	all	len59	27.3
1994	1	all	len61	19.44
1994	1	all	len63	18.72
1994	1	all	len65	13.68
1994	1	all	len67	4.6
1994	1	all	len69	2.7
1994	1	all	len71	0.66
1994	1	all	len73	0.66
1994	1	all	len75	0.24
1994	1	all	len77	0.04
1994	1	all	len79	0.02
1994	1	all	len81	0
1994	1	all	len83	0
1994	1	all	len85	0
1997	1	all	len31	0.57
1997	1	all	len33	0.57
1997	1	all	len35	3.99
1997	1	all	len37	5.7
1997	1	all	len39	21.09
1997	1	all	len41	53.58
1997	1	all	len43	167.58
1997	1	all	len45	296.97
1997	1	all	len47	386.46
1997	1	all	len49	336.87
1997	1	all	len51	205.92
1997	1	all	len53	166.92
1997	1	all	len55	102.44
1997	1	all	len57	44.94
1997	1	all	len59	34.02
1997	1	all	len61	10.32
1997	1	all	len63	6.96
1997	1	all	len65	8.88
1997	1	all	len67	2.3
1997	1	all	len69	0.7
1997	1	all	len71	0.24
1997	1	all	len73	0.12
1997	1	all	len75	0.06
1997	1	all	len77	0.04
1999	1	all	len37	0.57
1999	1	all	len39	0.57
1999	1	all	len41	0.57
1999	1	all	len43	1.14
1999	1	all	len45	7.41
1999	1	all	len47	14.25
1999	1	all	len49	29.07
1999	1	all	len51	41.04
1999	1	all	len53	36.4
1999	1	all	len55	35.88
1999	1	all	len57	22.36
1999	1	all	len59	14.28
1999	1	all	len61	12.6
1999	1	all	len63	2.88
1999	1	all	len65	6
1999	1	all	len67	4.8
1999	1	all	len69	1.2
1999	1	all	len71	0.7
1999	1	all	len73	0.18
1999	1	all	len75	0.12
1999	1	all	len77	0.06
1999	1	all	len79	0.02
1999	1	all	len81	0.04
2000	1	all	len33	0.57
2000	1	all	len35	1.71
2000	1	all	len37	3.42
2000	1	all	len39	11.4
2000	1	all	len41	28.5
2000	1	all	len43	57.57
2000	1	all	len45	68.97
2000	1	all	len47	103.74
2000	1	all	len49	128.82
2000	1	all	len51	101.92
2000	1	all	len53	89.44
2000	1	all	len55	83.72
2000	1	all	len57	42
2000	1	all	len59	29.82
2000	1	all	len61	11.04
2000	1	all	len63	12
2000	1	all	len65	9.12
2000	1	all	len67	3.2
2000	1	all	len69	2.4
2000	1	all	len71	0.54
2000	1	all	len73	0.72
2000	1	all	len77	0.18
2000	1	all	len79	0.04
2000	1	all	len81	0.04
2000	1	all	len83	0
2000	1	all	len87	0
2000	1	all	len89	0
2001	1	all	len35	2.28
2001	1	all	len37	9.12
2001	1	all	len39	17.67
2001	1	all	len41	29.07
2001	1	all	len43	55.29
2001	1	all	len45	52.44
2001	1	all	len47	50.16
2001	1	all	len49	51.3
2001	1	all	len51	37.44
2001	1	all	len53	34.84
2001	1	all	len55	25.48
2001	1	all	len57	23.52
2001	1	all	len59	17.64
2001	1	all	len61	8.16
2001	1	all	len63	9.12
2001	1	all	len65	6.24
2001	1	all	len67	2.4
2001	1	all	len69	1.6
2001	1	all	len71	0.42
2001	1	all	len73	0.42
2001	1	all	len75	0.12
2001	1	all	len77	0.06
2001	1	all	len79	0.06
2001	1	all	len81	0
2001	1	all	len83	0
2001	1	all	len91	0
2002	1	all	len37	0.57
2002	1	all	len39	3.99
2002	1	all	len41	11.97
2002	1	all	len43	26.79
2002	1	all	len45	35.91
2002	1	all	len47	33.06
2002	1	all	len49	45.6
2002	1	all	len51	42.64
2002	1	all	len53	46.28
2002	1	all	len55	41.08
2002	1	all	len57	28.56
2002	1	all	len59	28.14
2002	1	all	len61	14.4
2002	1	all	len63	14.88
2002	1	all	len65	14.64
2002	1	all	len67	5.8
2002	1	all	len69	3.7
2002	1	all	len71	1.44
2002	1	all	len73	1.14
2002	1	all	len75	0.84
2002	1	all	len77	0.14
2002	1	all	len79	0.08
2002	1	all	len81	0
2002	1	all	len83	0
2002	1	all	len85	0
2003	1	all	len41	0.57
2003	1	all	len43	1.71
2003	1	all	len45	1.14
2003	1	all	len47	3.42
2003	1	all	len49	9.12
2003	1	all	len51	7.28
2003	1	all	len53	14.04
2003	1	all	len55	18.2
2003	1	all	len57	9.66
2003	1	all	len59	9.66
2003	1	all	len61	4.32
2003	1	all	len63	4.08
2003	1	all	len65	4.32
2003	1	all	len67	0.5
2003	1	all	len69	0.5
2003	1	all	len71	0.06
2003	1	all	len73	0.06
2003	1	all	len77	0.06
2004	1	all	len27	0.02
2004	1	all	len31	1.71
2004	1	all	len33	1.71
2004	1	all	len35	3.42
2004	1	all	len37	8.55
2004	1	all	len39	23.94
2004	1	all	len41	33.06
2004	1	all	len43	53.01
2004	1	all	len45	102.03
2004	1	all	len47	113.43
2004	1	all	len49	181.26
2004	1	all	len51	188.76
2004	1	all	len53	226.72
2004	1	all	len55	299.52
2004	1	all	len57	175.98
2004	1	all	len59	155.82
2004	1	all	len61	74.4
2004	1	all	len63	71.28
2004	1	all	len65	59.76
2004	1	all	len67	18.8
2004	1	all	len69	13.3
2004	1	all	len71	3.66
2004	1	all	len73	3
2004	1	all	len75	1.8
2004	1	all	len77	0.44
2004	1	all	len79	0.26
2004	1	all	len81	0
2004	1	all	len83	0
2004	1	all	len85	0
2004	1	all	len87	0
2004	1	all	len89	0
2004	1	all	len91	0
2005	1	all	len33	0.57
2005	1	all	len35	1.71
2005	1	all	len37	7.41
2005	1	all	len39	8.55
2005	1	all	len41	19.95
2005	1	all	len43	42.18
2005	1	all	len45	59.28
2005	1	all	len47	90.06
2005	1	all	len49	95.19
2005	1	all	len51	120.12
2005	1	all	len53	137.8
2005	1	all	len55	134.16
2005	1	all	len57	89.88
2005	1	all	len59	89.46
2005	1	all	len61	38.64
2005	1	all	len63	31.2
2005	1	all	len65	32.16
2005	1	all	len67	11
2005	1	all	len69	7.1
2005	1	all	len71	2.58
2005	1	all	len73	1.92
2005	1	all	len75	0.9
2005	1	all	len77	0.3
2005	1	all	len79	0.14
2005	1	all	len81	0
2005	1	all	len83	0
2005	1	all	len85	0
2005	1	all	len87	0
2005	1	all	len89	0
2005	1	all	len91	0
2005	1	all	len93	0
2006	1	all	len31	3.99
2006	1	all	len33	10.26
2006	1	all	len35	19.95
2006	1	all	len37	21.66
2006	1	all	len39	35.91
2006	1	all	len41	50.16
2006	1	all	len43	47.31
2006	1	all	len45	70.11
2006	1	all	len47	84.36
2006	1	all	len49	113.43
2006	1	all	len51	114.4
2006	1	all	len53	108.68
2006	1	all	len55	110.76
2006	1	all	len57	62.16
2006	1	all	len59	57.54
2006	1	all	len61	34.08
2006	1	all	len63	22.8
2006	1	all	len65	22.56
2006	1	all	len67	11.6
2006	1	all	len69	6.1
2006	1	all	len71	3.3
2006	1	all	len73	2.1
2006	1	all	len75	1.5
2006	1	all	len77	0.44
2006	1	all	len79	0.28
2006	1	all	len81	0
2006	1	all	len83	0
2006	1	all	len85	0
2006	1	all	len87	0
2006	1	all	len89	0
2006	1	all	len91	0
2006	1	all	len93	0
2007	1	all	len111	0
2007	1	all	len25	0.57
2007	1	all	len27	2.28
2007	1	all	len29	4.56
2007	1	all	len31	11.4
2007	1	all	len33	15.39
2007	1	all	len35	28.5
2007	1	all	len37	41.04
2007	1	all	len39	71.25
2007	1	all	len41	108.3
2007	1	all	len43	122.55
2007	1	all	len45	172.71
2007	1	all	len47	158.46
2007	1	all	len49	196.08
2007	1	all	len51	180.12
2007	1	all	len53	155.48
2007	1	all	len55	134.68
2007	1	all	len57	98.8
2007	1	all	len59	86.1
2007	1	all	len61	71.82
2007	1	all	len63	36.48
2007	1	all	len65	35.28
2007	1	all	len67	27.84
2007	1	all	len69	9
2007	1	all	len71	7.5
2007	1	all	len73	2.22
2007	1	all	len75	1.2
2007	1	all	len77	1.08
2007	1	all	len79	0.12
2007	1	all	len81	0.08
2007	1	all	len83	0
2007	1	all	len85	0
2007	1	all	len87	0
2007	1	all	len89	0
2007	1	all	len93	0
2008	1	all	len103	0
2008	1	all	len107	0
2008	1	all	len31	1.71
2008	1	all	len33	6.27
2008	1	all	len35	20.52
2008	1	all	len37	64.41
2008	1	all	len39	123.12
2008	1	all	len41	201.21
2008	1	all	len43	222.87
2008	1	all	len45	213.75
2008	1	all	len47	229.71
2008	1	all	len49	248.52
2008	1	all	len51	203.49
2008	1	all	len53	190.84
2008	1	all	len55	172.64
2008	1	all	len57	162.76
2008	1	all	len59	122.64
2008	1	all	len61	118.86
2008	1	all	len63	54.48
2008	1	all	len65	49.68
2008	1	all	len67	42.72
2008	1	all	len69	13.7
2008	1	all	len71	8.5
2008	1	all	len73	2.46
2008	1	all	len75	2.04
2008	1	all	len77	1.8
2008	1	all	len79	0.36
2008	1	all	len81	0.16
2008	1	all	len83	0
2008	1	all	len85	0
2008	1	all	len87	0
2008	1	all	len89	0
2008	1	all	len91	0
2008	1	all	len93	0
2008	1	all	len95	0
2009	1	all	len33	1.71
2009	1	all	len35	6.27
2009	1	all	len37	17.1
2009	1	all	len39	35.91
2009	1	all	len41	66.69
2009	1	all	len43	109.44
2009	1	all	len45	128.25
2009	1	all	len47	131.1
2009	1	all	len49	141.36
2009	1	all	len51	122.2
2009	1	all	len53	131.56
2009	1	all	len55	149.76
2009	1	all	len57	94.92
2009	1	all	len59	82.32
2009	1	all	len61	38.16
2009	1	all	len63	35.52
2009	1	all	len65	31.68
2009	1	all	len67	11.9
2009	1	all	len69	7.8
2009	1	all	len71	4.38
2009	1	all	len73	3.06
2009	1	all	len75	1.98
2009	1	all	len77	0.38
2009	1	all	len79	0.22
2009	1	all	len81	0
2009	1	all	len83	0
2009	1	all	len85	0
2009	1	all	len87	0
2009	1	all	len89	0
2009	1	all	len91	0
2009	1	all	len93	0
2009	1	all	len95	0
2009	1	all	len97	0
2010	1	all	len33	1.14
2010	1	all	len35	2.85
2010	1	all	len37	5.7
2010	1	all	len39	11.4
2010	1	all	len41	21.09
2010	1	all	len43	45.6
2010	1	all	len45	43.32
2010	1	all	len47	46.17
2010	1	all	len49	47.31
2010	1	all	len51	49.59
2010	1	all	len53	42.12
2010	1	all	len55	38.48
2010	1	all	len57	32.76
2010	1	all	len59	33.18
2010	1	all	len61	24.36
2010	1	all	len63	14.4
2010	1	all	len65	11.52
2010	1	all	len67	12.24
2010	1	all	len69	3.5
2010	1	all	len71	2.1
2010	1	all	len73	0.6
2010	1	all	len75	0.66
2010	1	all	len77	0.6
2010	1	all	len81	0.06
2010	1	all	len83	0.04
2010	1	all	len85	0
2010	1	all	len89	0
2010	1	all	len97	0
2011	1	all	len27	1.14
2011	1	all	len29	4.56
2011	1	all	len31	6.27
2011	1	all	len33	3.99
2011	1	all	len35	5.13
2011	1	all	len37	4.56
2011	1	all	len39	14.25
2011	1	all	len41	9.69
2011	1	all	len43	14.25
2011	1	all	len45	16.53
2011	1	all	len47	27.93
2011	1	all	len49	25.08
2011	1	all	len51	19.95
2011	1	all	len53	26.52
2011	1	all	len55	28.08
2011	1	all	len57	24.96
2011	1	all	len59	18.48
2011	1	all	len61	18.06
2011	1	all	len63	6.96
2011	1	all	len65	8.16
2011	1	all	len67	6.48
2011	1	all	len69	1.8
2011	1	all	len71	2.5
2011	1	all	len73	0.54
2011	1	all	len75	0.84
2011	1	all	len77	0.24
2011	1	all	len79	0.08
2011	1	all	len81	0.02
2011	1	all	len83	0
2011	1	all	len87	0
2011	1	all	len89	0
2012	1	all	len101	0
2012	1	all	len105	0
2012	1	all	len15	1.14
2012	1	all	len31	0.57
2012	1	all	len35	0.57
2012	1	all	len37	2.85
2012	1	all	len39	13.68
2012	1	all	len41	27.36
2012	1	all	len43	53.01
2012	1	all	len45	96.9
2012	1	all	len47	87.21
2012	1	all	len49	147.06
2012	1	all	len51	102.44
2012	1	all	len53	115.96
2012	1	all	len55	143
2012	1	all	len57	91.14
2012	1	all	len59	86.52
2012	1	all	len61	35.28
2012	1	all	len63	31.44
2012	1	all	len65	31.92
2012	1	all	len67	10
2012	1	all	len69	8.9
2012	1	all	len71	5.22
2012	1	all	len73	3.78
2012	1	all	len75	2.76
2012	1	all	len77	0.42
2012	1	all	len79	0.26
2012	1	all	len81	0
2012	1	all	len85	0
2012	1	all	len87	0
2012	1	all	len89	0
2012	1	all	len91	0
2012	1	all	len95	0
2012	1	all	len97	0
2012	1	all	len99	0
2013	1	all	len101	0
2013	1	all	len21	0.57
2013	1	all	len27	2.85
2013	1	all	len29	2.28
2013	1	all	len31	4.56
2013	1	all	len33	2.85
2013	1	all	len35	6.27
2013	1	all	len37	7.41
2013	1	all	len39	23.37
2013	1	all	len41	54.15
2013	1	all	len43	100.32
2013	1	all	len45	174.99
2013	1	all	len47	184.68
2013	1	all	len49	222.87
2013	1	all	len51	212.16
2013	1	all	len53	210.08
2013	1	all	len55	199.68
2013	1	all	len57	136.5
2013	1	all	len59	118.86
2013	1	all	len61	61.68
2013	1	all	len63	45.12
2013	1	all	len65	46.8
2013	1	all	len67	19.7
2013	1	all	len69	16.3
2013	1	all	len71	7.32
2013	1	all	len73	6.6
2013	1	all	len75	5.16
2013	1	all	len77	1.02
2013	1	all	len79	0.86
2013	1	all	len81	0
2013	1	all	len83	0
2013	1	all	len85	0
2013	1	all	len87	0
2013	1	all	len89	0
2013	1	all	len91	0
2013	1	all	len93	0
2013	1	all	len95	0
2013	1	all	len97	0
2013	1	all	len99	0
2014	1	all	len29	0
2014	1	all	len37	5.13
2014	1	all	len39	5.7
2014	1	all	len41	6.27
2014	1	all	len43	14.82
